,IDR-iPS_ES_naive_H1-iPS_ES_naive_H9
TSPAN6,7.06031108e-01
TNMD,7.06031108e-01
DPM1,7.06031108e-01
SCYL3,5.23491791e-01
C1orf112,7.69488175e-02
FGR,7.06031108e-01
CFH,7.06031108e-01
FUCA2,7.06031108e-01
GCLC,7.12926261e-02
NFYA,3.60373842e-01
STPG1,1.72599279e-01
NIPAL3,5.44935061e-01
LAS1L,7.06031108e-01
ENPP4,1.17967442e-01
SEMA3F,5.16793677e-01
CFTR,4.34915321e-01
ANKIB1,5.96849313e-02
CYP51A1,7.06031108e-01
KRIT1,5.65288052e-01
RAD52,3.37570533e-01
BAD,7.06031108e-01
LAP3,7.62527160e-02
CD99,7.06031108e-01
HS3ST1,4.78830963e-01
AOC1,1.00901603e-01
WNT16,7.06031108e-01
HECW1,5.06578284e-01
MAD1L1,1.36942908e-01
LASP1,7.06031108e-01
SNX11,5.07436635e-01
TMEM176A,7.06031108e-01
M6PR,7.06031108e-01
KLHL13,7.06031108e-01
CYP26B1,4.89657712e-01
ICA1,4.34708193e-01
DBNDD1,2.15798331e-01
ALS2,6.18455350e-02
CASP10,9.50925977e-02
CFLAR,7.06031108e-01
TFPI,7.06031108e-01
NDUFAF7,7.06031108e-01
RBM5,5.33531804e-01
MTMR7,7.06031108e-01
SLC7A2,5.31908318e-01
ARF5,7.06031108e-01
SARM1,1.19266787e-01
POLDIP2,4.92904677e-01
PLXND1,9.73149052e-02
AK2,5.36805054e-01
CD38,7.06031108e-01
FKBP4,7.06031108e-01
KDM1A,7.06031108e-01
RBM6,3.20378975e-01
CAMKK1,9.54300964e-02
RECQL,7.06031108e-01
VPS50,7.06031108e-01
HSPB6,5.64675649e-02
ARHGAP33,7.16947179e-02
NDUFAB1,7.06031108e-01
PDK4,7.06031108e-01
SLC22A16,7.06031108e-01
ZMYND10,5.60170240e-01
ABCB5,7.06031108e-01
ARX,7.06031108e-01
SLC25A13,7.06031108e-01
ST7,1.02260158e-01
CDC27,1.21092235e-01
SLC4A1,8.36261109e-02
CALCR,7.06031108e-01
HCCS,7.06031108e-01
DVL2,6.26372967e-02
PRSS22,3.66176990e-01
UPF1,7.06031108e-01
SKAP2,7.06031108e-01
SLC25A5,7.06031108e-01
MCUB,3.40889787e-01
HOXA11,7.06031108e-01
POLR2J,7.06031108e-01
DHX33,8.17714685e-02
MEOX1,7.06031108e-01
THSD7A,7.06031108e-01
LIG3,6.11680666e-02
RPAP3,7.11486509e-02
ACSM3,7.06031108e-01
REXO5,6.90115159e-02
CIAPIN1,7.06031108e-01
SPPL2B,7.29613853e-02
FAM214B,7.06031108e-01
COPZ2,5.70648228e-01
PRKAR2B,7.06031108e-01
MSL3,7.06031108e-01
CREBBP,7.06031108e-01
TSPOAP1,1.22860472e-01
MPO,5.05307879e-01
PON1,2.51559575e-01
GCFC2,7.62677626e-02
WDR54,7.06031108e-01
CROT,1.02967155e-01
ABCB4,4.98786441e-01
KMT2E,7.06031108e-01
RHBDD2,1.23282859e-01
SOX8,2.68840918e-01
IBTK,1.32615062e-01
ZNF195,7.06031108e-01
MYCBP2,5.09502438e-01
FBXL3,7.06031108e-01
ITGAL,8.00759820e-02
PDK2,3.08659864e-01
ITGA3,1.12490874e-01
ZFX,7.06031108e-01
LAMP2,7.06031108e-01
ITGA2B,7.14854324e-02
ASB4,7.06031108e-01
GDE1,7.06031108e-01
REX1BD,7.06031108e-01
CRLF1,5.72286714e-01
OSBPL7,3.29425617e-01
TMEM98,7.06031108e-01
YBX2,5.60278949e-02
KRT33A,2.21691228e-01
MAP3K14,8.63828913e-02
ABCC8,5.16446219e-01
CACNG3,3.06026213e-01
TMEM132A,5.84885583e-02
AP2B1,5.65109868e-02
TAC1,5.62950331e-02
ZNF263,3.63867302e-01
CX3CL1,7.06031108e-01
SPATA20,1.19935810e-01
CACNA1G,5.65165074e-01
TNFRSF12A,5.54229796e-01
DLX6,7.06031108e-01
MAP3K9,3.06268342e-01
RALA,3.17474222e-01
BAIAP2L1,1.25546533e-01
KDM7A,5.66640103e-02
ETV1,7.06031108e-01
AGK,7.06031108e-01
ALDH3B1,5.72031526e-01
TTC22,9.38688390e-02
PHTF2,8.96226433e-02
CCL26,7.06031108e-01
FARP2,6.20015252e-02
USH1C,7.59605271e-02
GGCT,7.06031108e-01
DBF4,7.06031108e-01
TBXA2R,1.77664370e-01
IFRD1,5.60637208e-01
LGALS14,2.09452622e-01
COX10,6.04930892e-02
GTF2IRD1,6.27386816e-02
PAF1,5.47860847e-01
VPS41,7.06031108e-01
ARHGAP44,5.84004115e-02
ELAC2,7.06031108e-01
SCIN,2.22118045e-01
ARSD,5.12392146e-01
PNPLA4,4.58182310e-01
MYH13,5.50354991e-01
ADIPOR2,7.06031108e-01
CDKL3,7.06031108e-01
UPP2,7.06031108e-01
PRSS21,6.45387679e-02
MARK4,5.25718268e-01
PROM1,7.06031108e-01
CCDC124,7.06031108e-01
CEACAM21,1.26771861e-01
PAFAH1B1,7.06031108e-01
NOS2,7.06031108e-01
DNAH9,7.06031108e-01
KIAA0100,7.84132387e-02
SLC13A2,2.24574612e-01
GAS7,7.06031108e-01
TRAPPC6A,4.76752851e-01
MATK,7.06031108e-01
CEACAM7,7.06031108e-01
CD79B,5.96682125e-02
SCN4A,1.38052981e-01
ST7L,7.06031108e-01
TKTL1,7.06031108e-01
PAX6,7.06031108e-01
RPUSD1,7.06031108e-01
RHBDF1,3.90455361e-01
LUC7L,7.06031108e-01
CACNA2D2,6.20885933e-02
BAIAP3,8.37009548e-02
TSR3,5.15379014e-01
PIGQ,2.07016981e-01
CRAMP1,6.68383927e-02
TEAD3,8.62108124e-02
SELE,2.53311068e-01
DNAJC11,4.47367601e-01
FMO3,7.06031108e-01
MYLIP,7.06031108e-01
NOX1,7.06031108e-01
E2F2,1.22345596e-01
PSMB1,7.06031108e-01
SYN1,7.06031108e-01
JARID2,4.35801390e-01
CDKL5,7.06031108e-01
CAMK1G,9.21325868e-02
CDK11A,2.26527566e-01
NADK,4.37477779e-01
TFAP2B,7.06031108e-01
TFAP2D,7.06031108e-01
DLEC1,4.30535528e-01
CYTH3,7.95568322e-02
ADAM22,3.87740351e-01
SYPL1,7.06031108e-01
CYB561,1.23605959e-01
SPAG9,5.22603809e-01
CELSR3,5.91496623e-02
AASS,1.44384490e-01
PLEKHG6,1.10425362e-01
SS18L2,7.06031108e-01
MPND,5.49243594e-01
