,IDR-iPS_ES_prime_H1-iPS_ES_prime_H9
TSPAN6,7.14435500e-01
TNMD,5.72290124e-01
DPM1,7.14435500e-01
SCYL3,1.36764190e-01
C1orf112,1.45792866e-01
FGR,5.58561209e-01
CFH,7.14435500e-01
FUCA2,7.14435500e-01
GCLC,5.30207379e-01
NFYA,7.14435500e-01
STPG1,7.14435500e-01
NIPAL3,7.14435500e-01
LAS1L,9.25134797e-02
ENPP4,7.14435500e-01
SEMA3F,5.59806846e-01
CFTR,7.14435500e-01
ANKIB1,1.09789392e-01
CYP51A1,1.11808216e-01
KRIT1,6.59459994e-02
RAD52,1.01940619e-01
BAD,7.14435500e-01
LAP3,7.14435500e-01
CD99,7.14435500e-01
HS3ST1,7.14435500e-01
AOC1,1.60845852e-01
WNT16,7.14435500e-01
HECW1,5.39318307e-01
MAD1L1,4.97260946e-01
LASP1,3.94527175e-01
SNX11,7.14435500e-01
TMEM176A,7.14435500e-01
M6PR,7.14435500e-01
KLHL13,4.69310137e-01
CYP26B1,5.12161213e-01
ICA1,5.56707683e-01
DBNDD1,7.14435500e-01
ALS2,6.00308572e-02
CASP10,7.14435500e-01
CFLAR,5.55643706e-02
TFPI,7.14435500e-01
NDUFAF7,7.14435500e-01
RBM5,1.70773373e-01
MTMR7,1.09866597e-01
SLC7A2,6.19254561e-02
ARF5,7.14435500e-01
SARM1,5.03210914e-01
POLDIP2,7.14435500e-01
PLXND1,7.08817800e-02
AK2,7.14435500e-01
CD38,5.46572979e-01
FKBP4,7.14435500e-01
KDM1A,5.23329858e-01
RBM6,1.71668415e-01
CAMKK1,4.28143181e-01
RECQL,7.14435500e-01
VPS50,5.70479730e-01
HSPB6,7.14435500e-01
ARHGAP33,7.14435500e-01
NDUFAB1,5.56369005e-01
PDK4,7.14435500e-01
SLC22A16,4.77402986e-01
ZMYND10,3.99740031e-01
ABCB5,7.14435500e-01
ARX,7.14435500e-01
SLC25A13,7.14435500e-01
ST7,1.04190187e-01
CDC27,7.14435500e-01
SLC4A1,5.36478503e-01
CALCR,2.70212530e-01
HCCS,1.20056553e-01
DVL2,7.14435500e-01
PRSS22,1.05036573e-01
UPF1,7.14435500e-01
SKAP2,7.14435500e-01
SLC25A5,7.14435500e-01
MCUB,1.38809184e-01
HOXA11,2.57750098e-01
POLR2J,7.14435500e-01
DHX33,5.44696539e-01
MEOX1,7.60792979e-02
THSD7A,7.14435500e-01
LIG3,4.26983825e-01
RPAP3,7.62931811e-02
ACSM3,7.14435500e-01
REXO5,5.42283939e-01
CIAPIN1,7.14435500e-01
SPPL2B,7.14435500e-01
FAM214B,5.31890620e-01
COPZ2,7.14435500e-01
PRKAR2B,5.04224189e-01
MSL3,7.14435500e-01
CREBBP,5.83620976e-01
TSPOAP1,7.14435500e-01
MPO,5.57870294e-01
PON1,4.38462904e-01
GCFC2,7.14435500e-01
WDR54,7.14435500e-01
CROT,7.14435500e-01
ABCB4,7.14435500e-01
KMT2E,7.14435500e-01
RHBDD2,7.14435500e-01
SOX8,7.14435500e-01
IBTK,7.11562306e-02
ZNF195,7.14435500e-01
MYCBP2,4.16666966e-01
FBXL3,5.79669177e-01
ITGAL,5.76432166e-02
PDK2,7.14435500e-01
ITGA3,7.14435500e-01
ZFX,7.14435500e-01
LAMP2,4.29017478e-01
ITGA2B,7.14435500e-01
ASB4,4.66982733e-01
GDE1,5.43563201e-01
REX1BD,7.14435500e-01
CRLF1,1.12715363e-01
OSBPL7,7.14435500e-01
TMEM98,7.14435500e-01
YBX2,7.14435500e-01
KRT33A,2.23770195e-01
